# Theme repeat pool allowlist
# Delete a row to remove that verse from pool generation.
# Columns: verseKey<TAB>repeatCount<TAB>reference<TAB>text
PRO.3.5	275	箴言 3:5	你要专心仰赖耶和华， 不可倚靠自己的聪明，
PRO.3.6	270	箴言 3:6	在你一切所行的事上都要认定他， 他必指引你的路。
ROM.8.28	267	罗马书 8:28	我们晓得万事都互相效力， 叫爱神的人得益处， 就是按他旨意被召的人。
ROM.15.13	267	罗马书 15:13	但愿使人有盼望的神， 因信将诸般的喜乐、平安充满你们的心， 使你们借着圣灵的能力大有盼望。
ISA.40.31	265	以赛亚书 40:31	但那等候耶和华的必从新得力。他们必如鹰展翅上腾； 他们奔跑却不困倦， 行走却不疲乏。
ISA.41.10	250	以赛亚书 41:10	你不要害怕，因为我与你同在； 不要惊惶，因为我是你的神。我必坚固你， 我必帮助你；我必用我公义的右手扶持你。
MAT.11.28	248	马太福音 11:28	凡劳苦担重担的人可以到我这里来， 我就使你们得安息。
ROM.12.2	240	罗马书 12:2	不要效法这个世界， 只要心意更新而变化， 叫你们察验何为神的善良、纯全、可喜悦的旨意。
PHP.4.6	232	腓立比书 4:6	应当一无挂虑，只要凡事借着祷告、祈求， 和感谢，将你们所要的告诉神。
PHP.4.7	231	腓立比书 4:7	神所赐出人意外的平安， 必在基督耶稣里保守你们的心怀意念。
GAL.5.22	220	加拉太书 5:22	圣灵所结的果子，就是仁爱、喜乐、和平、忍耐、恩慈、良善、信实、
PHP.4.13	218	腓立比书 4:13	我靠着那加给我力量的， 凡事都能作。
ISA.26.3	212	以赛亚书 26:3	坚心倚赖你的，你必保守他十分平安， 因为他倚靠你。
MAT.11.29	212	马太福音 11:29	我心里柔和谦卑，你们当负我的轭， 学我的样式；这样，你们心里就必得享安息。
1PE.5.7	210	彼得前书 5:7	你们要将一切的忧虑卸给神， 因为他顾念你们。
MAT.11.30	207	马太福音 11:30	因为我的轭是容易的， 我的担子是轻省的。」
PSA.46.1	201	诗篇 46:1	神是我们的避难所， 是我们的力量，是我们在患难中随时的帮助。
HEB.4.16	189	希伯来书 4:16	所以，我们只管坦然无惧的来到施恩的宝座前， 为要得怜恤，蒙恩惠， 作随时的帮助。
GAL.6.9	188	加拉太书 6:9	我们行善，不可丧志； 若不灰心，到了时候就要收成。
HEB.13.5	187	希伯来书 13:5	你们存心不可贪爱钱财， 要以自己所有的为足； 因为主曾说：『我总不撇下你， 也不丢弃你。』
PHP.1.6	181	腓立比书 1:6	我深信那在你们心里动了善工的， 必成全这工，直到耶稣基督的日子。
ISA.43.2	178	以赛亚书 43:2	你从水中经过，我必与你同在； 你趟过江河，水必不漫过你； 你从火中行过，必不被烧， 火焰也不着在你身上。
ROM.12.1	178	罗马书 12:1	所以弟兄们，我以神的慈悲劝你们， 将身体献上，当作活祭， 是圣洁的，是神所喜悦的； 你们如此事奉乃是理所当然的。
PSA.37.4	174	诗篇 37:4	又要以耶和华为乐， 他就将你心里所求的赐给你。
2TI.1.7	170	提摩太后书 1:7	因为神赐给我们，不是胆怯的心， 乃是刚强、仁爱、谨守的心。
MAT.6.33	170	马太福音 6:33	你们要先求他的国和他的义， 这些东西都要加给你们了。
GAL.5.23	168	加拉太书 5:23	温柔、节制。这样的事， 没有律法禁止。
HEB.10.24	168	希伯来书 10:24	又要彼此相顾，激发爱心， 勉励行善。
ROM.8.39	164	罗马书 8:39	是高处的，是低处的， 是别的受造之物，都不能叫我们与神的爱隔绝； 这爱是在我们的主基督耶稣里的。
ROM.8.31	163	罗马书 8:31	既是这样，还有甚么说的呢？神若帮助我们， 谁能敌挡我们呢？
HEB.12.2	162	希伯来书 12:2	仰望为我们信心创始成终的耶稣。他因那摆在前面的喜乐， 就轻看羞辱，忍受了十字架的苦难， 便坐在神宝座的右边。
ROM.12.12	162	罗马书 12:12	在指望中要喜乐，在患难中要忍耐， 祷告要恒切。
MAT.5.16	161	马太福音 5:16	你们的光也当这样照在人前， 叫他们看见你们的好行为， 便将荣耀归给你们在天上的父。」
PSA.119.105	157	诗篇 119:105	你的话是我脚前的灯， 是我路上的光。
HEB.12.1	155	希伯来书 12:1	我们既有这许多的见证人， 如同云彩围着我们， 就当放下各样的重担， 脱去容易缠累我们的罪， 存心忍耐，奔那摆在我们前头的路程，
MAT.7.7	154	马太福音 7:7	「你们祈求，就给你们； 寻找，就寻见；叩门，就给你们开门。
PSA.121.2	154	诗篇 121:2	我的帮助从造天地的耶和华而来。
COL.3.2	153	歌罗西书 3:2	你们要思念上面的事， 不要思念地上的事。
HEB.10.25	153	希伯来书 10:25	你们不可停止聚会， 好像那些停止惯了的人， 倒要彼此劝勉，既知道那日子临近， 就更当如此。
PHP.4.19	152	腓立比书 4:19	我的神必照他荣耀的丰富， 在基督耶稣里，使你们一切所需用的都充足。
PSA.37.5	152	诗篇 37:5	当将你的事交托耶和华， 并倚靠他，他就必成全。
ROM.12.10	152	罗马书 12:10	爱弟兄，要彼此亲热； 恭敬人，要彼此推让。
1TH.5.18	147	帖撒罗尼迦前书 5:18	凡事谢恩；因为这是神在基督耶稣里向你们所定的旨意。
PSA.91.1	146	诗篇 91:1	住在至高者隐密处的， 必住在全能者的荫下。
PSA.145.18	146	诗篇 145:18	凡求告耶和华的，就是诚心求告他的， 耶和华便与他们相近。
ROM.8.38	145	罗马书 8:38	因为我深信无论是死， 是生，是天使，是掌权的， 是有能的，是现在的事， 是将来的事，
